-1 1:10101.05 2:10128.6 3:10065.75 4:10114.65 5:190000516 6:11515.29 7:10136.3
-1 1:10136.3 2:10137.85 3:10054.2 4:10081.5 5:166463276 6:9165.92 7:10081.15
1 1:10081.15 2:10081.15 3:9998.25 4:10013.65 5:198665837 6:10714.1 7:10008.6
-1 1:10008.6 2:10075.25 3:9988.35 4:10066.4 5:184082134 6:10397.88 7:10074.8
-1 1:10074.8 2:10088.1 3:10046.35 4:10057.4 5:141566282 6:7827.95 7:10068.35
-1 1:10068.35 2:10083.8 3:9947 4:9978.55 5:209645343 6:10780.41 7:9961.15
-1 1:9961.15 2:9969.8 3:9893.05 4:9908.05 5:174395293 6:8831.72 7:9872.85
-1 1:9872.85 2:9892.65 3:9776.2 4:9820.25 5:242820594 6:12040.13 7:9712.15
1 1:9712.15 2:9771.65 3:9685.55 4:9710.8 5:294732998 6:13435.56 7:9755.75
1 1:9755.75 2:9818.3 3:9752.1 4:9794.15 5:201613585 6:9486.82 7:9825.85
-1 1:9825.85 2:9903.95 3:9773.85 4:9897.3 5:226269013 6:10815.38 7:9945.55
-1 1:9945.55 2:9947.8 3:9883.75 4:9904.15 5:203652311 6:9927.47 7:9865.95
-1 1:9865.95 2:9865.95 3:9783.65 4:9837.4 5:253931517 6:15636.16 7:9864.25
-1 1:9864.25 2:9884.35 3:9740.1 4:9754.35 5:211627775 6:11764 7:9815.75
1 1:9815.75 2:9828.45 3:9752.6 4:9765.55 5:189267122 6:9850.89 7:9803.05
-1 1:9803.05 2:9857.9 3:9786.75 4:9852.5 5:173815509 6:9961.13 7:9881.2
1 1:9881.2 2:9881.5 3:9848.85 4:9857.05 5:190398702 6:10392.63 7:9907.15
-1 1:9907.15 2:9925.75 3:9882 4:9912.8 5:164493772 6:9900.06 7:9886.4
1 1:9886.4 2:9887.35 3:9783.75 4:9796.05 5:178668444 6:8469.09 7:9859.5
1 1:9859.5 2:9909.45 3:9850.8 4:9884.4 5:162704136 6:8008.72 7:9905.7
